member,address,start_date,end_date,season
Brichis (Anticapture Commission Lead),0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,1/4/2024,6/26/2024,5
Gonna.eth (Grants Council Lead),0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,1/4/2024,6/26/2024,5
Gene (Code of Conduct Council Representative),0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,1/4/2024,6/26/2024,5
Blockchain @ USC,0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4,1/4/2024,6/26/2024,5
Butterbum,0x0331969e189d63fbc31d771bb04ab44227d748d8,1/4/2024,6/26/2024,5
Ceresstation,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,1/4/2024,6/26/2024,5
GFX Labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,1/4/2024,6/26/2024,5
Griff Green,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd ,1/4/2024,6/26/2024,5
ITU Blockchain,0xbec643bd5b7f5e9190617ca4187ef0455950c51c ,1/4/2024,6/26/2024,5
Joxes (SEED Latam),0x94db037207f6fb697dbd33524aadffd108819dc8,1/4/2024,6/26/2024,5
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,1/4/2024,6/26/2024,5
L2BEATs,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,1/4/2024,6/26/2024,5
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1/4/2024,6/26/2024,5
MinimalGravitas,0x7899d9b1181cbb427b0b1be0684c096c260f7474,1/4/2024,6/26/2024,5
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,1/4/2024,6/26/2024,5
OPUser,0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,1/4/2024,6/26/2024,5
PGov,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,1/4/2024,6/26/2024,5
StableLab,0xecc2a9240268bc7a26386ecb49e1befca2706ac9,1/4/2024,6/26/2024,5
web3magnetic,0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,1/4/2024,6/26/2024,5
404 DAO,0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,1/4/2024,6/26/2024,5
